0,fuente,tabla_num,1,2,3,4,5,6,7,8,9,10,11,12,Número de municipios por entidad federativa y demarcaciones territoriales de la Ciudad de México,"Los datos proceden del Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la Ciudad de México, realizado por el Instituto Nacional de Estadística y Geografía (INEGI).Con motivo de la reforma de la Constitución Política de los Estados Unidos Mexicanos publicada el 29 de enero de 2016 en el Diario Oficial de la Federación, el Distrito Federal cambió su denominación a Ciudad de México. La información correspondiente a dicha entidad se presenta con este nuevo nombre.","Instituto Nacional de Estadística y Geografía, Censo Nacional de Gobiernos Municipales y Delegacionales, Ediciones 2011, 2013, 2015, 2017, Módulo 6: Residuos Sólidos Urbanos, consultado en: https://www.inegi.org.mx/temas/residuos/, 08-11-2019."
,recoleccion_municipios,2,2003,"2,156.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2004,"2,210.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2005,"2,262.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2006,"2,309.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2007,"2,341.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2008,"2,210.60",,,,,,,,,,,,,
,recoleccion_municipios,2,2009,"2,253.50",,,,,,,,,,,,,
,recoleccion_municipios,2,2010,"2,355.50",,,,,,,,,,,,,
,recoleccion_municipios,2,2011,"2,414.50",,,,,,,,,,,,,
,recoleccion_municipios,2,2012,"2,475.66",,,,,,,,,,,,,
Metales: Aluminio,recoleccion_municipios,2,1995,488.15,,,,,,,,,,,,,
,recoleccion_municipios,2,1996,511.35,,,,,,,,,,,,,
,recoleccion_municipios,2,1997,468.36,,,,,,,,,,,,,
,recoleccion_municipios,2,1998,488.81,,,,,,,,,,,,,
,recoleccion_municipios,2,1999,495.23,,,,,,,,,,,,,
,recoleccion_municipios,2,2000,491.73,,,,,,,,,,,,,
,recoleccion_municipios,2,2001,503.82,,,,,,,,,,,,,
,recoleccion_municipios,2,2002,514.78,,,,,,,,,,,,,
,recoleccion_municipios,2,2003,586.15,,,,,,,,,,,,,
,recoleccion_municipios,2,2004,606.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2005,620.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2006,633.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2007,650.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2008,650.40,,,,,,,,,,,,,
,recoleccion_municipios,2,2009,663.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2010,693.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2011,710.40,,,,,,,,,,,,,
,recoleccion_municipios,2,2012,728.38,,,,,,,,,,,,,
Metales Ferrosos,recoleccion_municipios,2,1995,245.60,,,,,,,,,,,,,
,recoleccion_municipios,2,1996,257.27,,,,,,,,,,,,,
,recoleccion_municipios,2,1997,235.64,,,,,,,,,,,,,
,recoleccion_municipios,2,1998,245.93,,,,,,,,,,,,,
,recoleccion_municipios,2,1999,249.16,,,,,,,,,,,,,
,recoleccion_municipios,2,2000,247.40,,,,,,,,,,,,,
,recoleccion_municipios,2,2001,253.48,,,,,,,,,,,,,
,recoleccion_municipios,2,2002,259.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2003,282.61,,,,,,,,,,,,,
,recoleccion_municipios,2,2004,329.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2005,336.10,,,,,,,,,,,,,
,recoleccion_municipios,2,2006,343.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2007,410.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2008,407.50,,,,,,,,,,,,,
,recoleccion_municipios,2,2009,415.40,,,,,,,,,,,,,
,recoleccion_municipios,2,2010,434.20,,,,,,,,,,,,,
,recoleccion_municipios,2,2011,445.10,,,,,,,,,,,,,
,recoleccion_municipios,2,2012,456.36,,,,,,,,,,,,,
"Metales: otros no ferrosos (incluye cobre, plomo, estaño y níquel)",recoleccion_municipios,2,1995,151.02,,,,,,,,,,,,,
,recoleccion_municipios,2,1996,158.20,,,,,,,,,,,,,
,recoleccion_municipios,2,1997,144.90,,,,,,,,,,,,,
,recoleccion_municipios,2,1998,151.22,,,,,,,,,,,,,
,recoleccion_municipios,2,1999,153.21,,,,,,,,,,,,,
,recoleccion_municipios,2,2000,152.13,,,,,,,,,,,,,
,recoleccion_municipios,2,2001,155.87,,,,,,,,,,,,,
,recoleccion_municipios,2,2002,159.26,,,,,,,,,,,,,
,recoleccion_municipios,2,2003,177.94,,,,,,,,,,,,,
,recoleccion_municipios,2,2004,225.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2005,230.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2006,234.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2007,238.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2008,235.30,,,,,,,,,,,,,
,recoleccion_municipios,2,2009,239.90,,,,,,,,,,,,,
,recoleccion_municipios,2,2010,250.70,,,,,,,,,,,,,
,recoleccion_municipios,2,2011,257.00,,,,,,,,,,,,,
,recoleccion_municipios,2,2012,263.51,,,,,,,,,,,,,
Metales: Total,recoleccion_municipios,2,1992,635.96,,,,,,,,,,,,,
,recoleccion_municipios,2,1993,814.60,,,,,,,,,,,,,
,recoleccion_municipios,2,1994,854.70,,,,,,,,,,,,,
,recoleccion_municipios,2,1995,884.78,,,,,,,,,,,,,
,recoleccion_municipios,2,1996,926.82,,,,,,,,,,,,,
,recoleccion_municipios,2,1997,848.90,,,,,,,,,,,,,
,recoleccion_municipios,2,1998,885.96,,,,,,,,,,,,,
,recoleccion_municipios,2,1999,897.61,,,,,,,,,,,,,
,recoleccion_municipios,2,2000,891.26,,,,,,,,,,,,,
,recoleccion_municipios,2,2001,913.17,,,,,,,,,,,,,
,recoleccion_municipios,2,2002,933.03,,,,,,,,,,,,,
,recoleccion_municipios,2,2003,"1,046.70",,,,,,,,,,,,,
,recoleccion_municipios,2,2004,"1,160.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2005,"1,186.10",,,,,,,,,,,,,
,recoleccion_municipios,2,2006,"1,210.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2007,"1,298.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2008,"1,293.20",,,,,,,,,,,,,
,recoleccion_municipios,2,2009,"1,318.30",,,,,,,,,,,,,
,recoleccion_municipios,2,2010,"1,377.90",,,,,,,,,,,,,
,recoleccion_municipios,2,2011,"1,412.50",,,,,,,,,,,,,
,recoleccion_municipios,2,2012,"1,448.25",,,,,,,,,,,,,
"Basura de comida, de jardines y materiales orgánicos similares",recoleccion_municipios,2,1992,"11,511.97",,,,,,,,,,,,,
,recoleccion_municipios,2,1993,"14,718.92",,,,,,,,,,,,,
,recoleccion_municipios,2,1994,"15,443.56",,,,,,,,,,,,,
,recoleccion_municipios,2,1995,"15,987.04",,,,,,,,,,,,,
,recoleccion_municipios,2,1996,"16,746.73",,,,,,,,,,,,,
,recoleccion_municipios,2,1997,"15,338.75",,,,,,,,,,,,,
,recoleccion_municipios,2,1998,"16,008.46",,,,,,,,,,,,,
,recoleccion_municipios,2,1999,"16,218.85",,,,,,,,,,,,,
,recoleccion_municipios,2,2000,"16,104.09",,,,,,,,,,,,,
,recoleccion_municipios,2,2001,"16,500.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2002,"16,858.97",,,,,,,,,,,,,
,recoleccion_municipios,2,2003,"16,592.80",,,,,,,,,,,,,
,recoleccion_municipios,2,2004,"17,440.80",,,,,,,,,,,,,
,recoleccion_municipios,2,2005,"17,968.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2006,"18,335.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2007,"18,576.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2008,"19,707.30",,,,,,,,,,,,,
,recoleccion_municipios,2,2009,"20,090.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2010,"20,998.80",,,,,,,,,,,,,
,recoleccion_municipios,2,2011,"21,524.90",,,,,,,,,,,,,
,recoleccion_municipios,2,2012,"22,070.27",,,,,,,,,,,,,
"Otro tipo de basura (residuos finos, pañal desechable, etc.)",recoleccion_municipios,2,1992,"4,143.17",,,,,,,,,,,,,
,recoleccion_municipios,2,1993,"5,297.69",,,,,,,,,,,,,
,recoleccion_municipios,2,1994,"5,558.50",,,,,,,,,,,,,
,recoleccion_municipios,2,1995,"5,754.11",,,,,,,,,,,,,
,recoleccion_municipios,2,1996,"6,027.54",,,,,,,,,,,,,
,recoleccion_municipios,2,1997,"5,520.78",,,,,,,,,,,,,
,recoleccion_municipios,2,1998,"5,761.82",,,,,,,,,,,,,
,recoleccion_municipios,2,1999,"5,837.55",,,,,,,,,,,,,
,recoleccion_municipios,2,2000,"5,796.24",,,,,,,,,,,,,
,recoleccion_municipios,2,2001,"5,938.74",,,,,,,,,,,,,
,recoleccion_municipios,2,2002,"6,067.94",,,,,,,,,,,,,
,recoleccion_municipios,2,2003,"5,704.30",,,,,,,,,,,,,
,recoleccion_municipios,2,2004,"5,995.80",,,,,,,,,,,,,
,recoleccion_municipios,2,2005,"6,022.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2006,"6,143.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2007,"6,385.70",,,,,,,,,,,,,
,recoleccion_municipios,2,2008,"4,552.80",,,,,,,,,,,,,
,recoleccion_municipios,2,2009,"4,641.20",,,,,,,,,,,,,
,recoleccion_municipios,2,2010,"4,851.20",,,,,,,,,,,,,
,recoleccion_municipios,2,2011,"4,972.70",,,,,,,,,,,,,
,recoleccion_municipios,2,2012,"5,098.70",,,,,,,,,,,,,
Total,recoleccion_municipios,2,1992,"21,967.51",,,,,,,,,,,,,
,recoleccion_municipios,2,1993,"28,089.54",,,,,,,,,,,,,
,recoleccion_municipios,2,1994,"29,472.43",,,,,,,,,,,,,
,recoleccion_municipios,2,1995,"30,509.61",,,,,,,,,,,,,
,recoleccion_municipios,2,1996,"31,959.42",,,,,,,,,,,,,
,recoleccion_municipios,2,1997,"29,272.42",,,,,,,,,,,,,
,recoleccion_municipios,2,1998,"30,550.67",,,,,,,,,,,,,
,recoleccion_municipios,2,1999,"30,952.30",,,,,,,,,,,,,
,recoleccion_municipios,2,2000,"30,733.26",,,,,,,,,,,,,
,recoleccion_municipios,2,2001,"31,488.48",,,,,,,,,,,,,
,recoleccion_municipios,2,2002,"32,173.61",,,,,,,,,,,,,
,recoleccion_municipios,2,2003,"32,915.70",,,,,,,,,,,,,
,recoleccion_municipios,2,2004,"34,604.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2005,"35,405.00",,,,,,,,,,,,,
,recoleccion_municipios,2,2006,"36,135.00",,,,,,,,,,,,,
